name,ra,dec,V,CaHK_0,CaHKerr,FeH_pris,FeH_FERRE,FeH_FERRE_err,temp_FERRE,temp_FERRE_err,logg_FERRE,logg_FERRE_err,C_Fe_FERRE,C_Fe_FERRE_err,q_flag,c_flag,prev_obs
P018.4099+30.2496,18.40989494,30.24964905,15.501,16.126,0.020,-2.90,-2.59,0.20,5285,105,2.7,0.5,0.34,0.50,X,1,LAMOST
P018.5633+30.9700,18.56327438,30.97003365,16.117,16.642,0.020,-2.95,-2.90,0.21,5374,110,1.4,0.6,1.13,0.42,X,-1,nan
P020.7445+29.9749,20.74449921,29.97493553,16.398,16.737,0.021,-3.33,-2.85,0.20,5924,104,4.9,0.5,0.94,0.50,X,-1,nan
P020.9092+33.7353,20.90923691,33.73533249,15.211,15.627,0.020,-2.71,-2.31,0.21,5977,115,4.4,0.5,-0.17,0.54,X,-1,nan
P021.6938+29.0039,21.69380760,29.00385475,15.779,15.999,0.020,-3.41,-3.40,0.20,5789,102,1.1,0.5,1.84,0.70,X,-1,nan
P021.9576+32.4131,21.95762444,32.41313934,15.746,16.357,0.020,-3.61,-2.67,0.28,5379,177,2.4,1.0,0.23,0.64,X,-1,nan
P022.0818+31.5670,22.08184242,31.56703377,16.464,16.849,0.021,-2.85,-2.46,0.21,5806,120,4.6,0.6,0.28,0.51,T,-1,nan
P022.9356+33.6946,22.93559074,33.69456482,16.049,16.343,0.020,-3.16,-3.29,0.23,5788,112,5.0,0.5,-0.39,0.59,X,-1,LAMOST
P022.9420+30.4712,22.94196320,30.47119522,14.820,15.671,0.020,-3.44,-2.70,0.20,5229,101,1.2,0.5,0.34,0.33,X,1,nan
P022.9603+30.8872,22.96027946,30.88724709,14.906,15.254,0.020,-3.56,-0.34,0.20,6105,102,3.4,0.5,-2.37,0.50,X,-1,LAMOST
P023.1686+31.4032,23.16862106,31.40322685,16.283,17.248,0.021,-3.40,-2.86,0.22,5151,124,2.1,0.7,0.49,0.56,X,1,nan
P023.5324+33.1722,23.53240013,33.17218781,15.685,16.198,0.020,-2.79,-2.34,0.20,5764,107,4.0,0.5,0.40,0.50,X,-1,nan
P023.5713+27.2468,23.57132530,27.24680901,15.778,15.911,0.020,-2.91,-2.38,0.21,6423,113,4.4,0.5,-0.08,0.63,X,-1,nan
P030.2800+30.1630,30.28002167,30.16300011,15.592,16.258,0.020,-2.82,-2.54,0.21,5391,107,3.4,0.5,-0.01,0.50,X,-1,nan
P030.4936+25.9791,30.49362946,25.97917175,15.143,15.578,0.020,-2.24,-2.00,0.20,6123,102,4.9,0.5,0.33,0.50,T,-1,nan
P030.5807+25.0079,30.58072090,25.00794983,15.247,15.342,0.020,-3.25,-2.50,0.21,6260,115,4.1,0.5,-0.06,0.61,X,-1,nan
P031.1536+26.9934,31.15357018,26.99335861,16.257,16.864,0.021,-3.25,-2.86,0.22,5310,122,2.1,1.0,0.83,0.61,X,-1,nan
P031.8191+26.9123,31.81912994,26.91233635,14.904,15.187,0.020,-2.78,-2.95,0.21,5897,103,5.0,0.5,0.67,0.41,X,-1,nan
